Temp (K)	alpha (K^-1) 
108.0000	1.2446e-04
108.2963	1.2479e-04
108.5926	1.2511e-04
108.8889	1.2544e-04
109.1852	1.2577e-04
109.4815	1.2609e-04
109.7778	1.2642e-04
110.0741	1.2674e-04
110.3704	1.2707e-04
110.6667	1.2739e-04
110.9630	1.2771e-04
111.2593	1.2804e-04
111.5556	1.2836e-04
111.8519	1.2868e-04
112.1481	1.2900e-04
112.4444	1.2932e-04
112.7407	1.2964e-04
113.0370	1.2996e-04
113.3333	1.3028e-04
113.6296	1.3060e-04
113.9259	1.3092e-04
114.2222	1.3123e-04
114.5185	1.3155e-04
114.8148	1.3187e-04
115.1111	1.3218e-04
115.4074	1.3250e-04
115.7037	1.3281e-04
116.0000	1.3313e-04
116.2963	1.3344e-04
116.5926	1.3375e-04
116.8889	1.3407e-04
117.1852	1.3438e-04
117.4815	1.3469e-04
117.7778	1.3500e-04
118.0741	1.3531e-04
118.3704	1.3562e-04
118.6667	1.3593e-04
118.9630	1.3624e-04
119.2593	1.3655e-04
119.5556	1.3686e-04
119.8519	1.3716e-04
120.1481	1.3747e-04
120.4444	1.3778e-04
120.7407	1.3808e-04
121.0370	1.3839e-04
121.3333	1.3869e-04
121.6296	1.3900e-04
121.9259	1.3930e-04
122.2222	1.3960e-04
122.5185	1.3991e-04
122.8148	1.4021e-04
123.1111	1.4051e-04
123.4074	1.4081e-04
123.7037	1.4111e-04
124.0000	1.4141e-04
124.2963	1.4171e-04
124.5926	1.4201e-04
124.8889	1.4231e-04
125.1852	1.4260e-04
125.4815	1.4290e-04
125.7778	1.4320e-04
126.0741	1.4349e-04
126.3704	1.4379e-04
126.6667	1.4409e-04
126.9630	1.4438e-04
127.2593	1.4467e-04
127.5556	1.4497e-04
127.8519	1.4526e-04
128.1481	1.4555e-04
128.4444	1.4584e-04
128.7407	1.4614e-04
129.0370	1.4643e-04
129.3333	1.4672e-04
129.6296	1.4701e-04
129.9259	1.4730e-04
130.2222	1.4759e-04
130.5185	1.4787e-04
130.8148	1.4816e-04
131.1111	1.4845e-04
131.4074	1.4874e-04
131.7037	1.4902e-04
132.0000	1.4931e-04
132.2963	1.4959e-04
132.5926	1.4988e-04
132.8889	1.5016e-04
133.1852	1.5044e-04
133.4815	1.5073e-04
133.7778	1.5101e-04
134.0741	1.5129e-04
134.3704	1.5157e-04
134.6667	1.5185e-04
134.9630	1.5213e-04
135.2593	1.5241e-04
135.5556	1.5269e-04
135.8519	1.5297e-04
136.1481	1.5325e-04
136.4444	1.5353e-04
136.7407	1.5380e-04
137.0370	1.5408e-04
137.3333	1.5436e-04
137.6296	1.5463e-04
137.9259	1.5491e-04
138.2222	1.5518e-04
138.5185	1.5546e-04
138.8148	1.5573e-04
139.1111	1.5600e-04
139.4074	1.5627e-04
139.7037	1.5655e-04
140.0000	1.5682e-04
140.2963	1.5709e-04
140.5926	1.5736e-04
140.8889	1.5763e-04
141.1852	1.5790e-04
141.4815	1.5817e-04
141.7778	1.5843e-04
142.0741	1.5870e-04
142.3704	1.5897e-04
142.6667	1.5923e-04
142.9630	1.5950e-04
143.2593	1.5977e-04
143.5556	1.6003e-04
143.8519	1.6029e-04
144.1481	1.6056e-04
144.4444	1.6082e-04
144.7407	1.6108e-04
145.0370	1.6135e-04
145.3333	1.6161e-04
145.6296	1.6187e-04
145.9259	1.6213e-04
146.2222	1.6239e-04
146.5185	1.6265e-04
146.8148	1.6291e-04
147.1111	1.6317e-04
147.4074	1.6343e-04
147.7037	1.6368e-04
148.0000	1.6394e-04
148.2963	1.6420e-04
148.5926	1.6445e-04
148.8889	1.6471e-04
149.1852	1.6496e-04
149.4815	1.6522e-04
149.7778	1.6547e-04
150.0741	1.6572e-04
150.3704	1.6598e-04
150.6667	1.6623e-04
150.9630	1.6648e-04
151.2593	1.6673e-04
151.5556	1.6698e-04
151.8519	1.6723e-04
152.1481	1.6748e-04
152.4444	1.6773e-04
152.7407	1.6798e-04
153.0370	1.6823e-04
153.3333	1.6847e-04
153.6296	1.6872e-04
153.9259	1.6897e-04
154.2222	1.6921e-04
154.5185	1.6946e-04
154.8148	1.6970e-04
155.1111	1.6995e-04
155.4074	1.7019e-04
155.7037	1.7043e-04
156.0000	1.7068e-04
156.2963	1.7092e-04
156.5926	1.7116e-04
156.8889	1.7140e-04
157.1852	1.7164e-04
157.4815	1.7188e-04
157.7778	1.7212e-04
158.0741	1.7236e-04
158.3704	1.7260e-04
158.6667	1.7284e-04
158.9630	1.7307e-04
159.2593	1.7331e-04
159.5556	1.7355e-04
159.8519	1.7378e-04
160.1481	1.7402e-04
160.4444	1.7425e-04
160.7407	1.7449e-04
161.0370	1.7472e-04
161.3333	1.7495e-04
161.6296	1.7519e-04
161.9259	1.7542e-04
162.2222	1.7565e-04
162.5185	1.7588e-04
162.8148	1.7611e-04
163.1111	1.7634e-04
163.4074	1.7657e-04
163.7037	1.7680e-04
164.0000	1.7703e-04
164.2963	1.7726e-04
164.5926	1.7748e-04
164.8889	1.7771e-04
165.1852	1.7794e-04
165.4815	1.7816e-04
165.7778	1.7839e-04
166.0741	1.7861e-04
166.3704	1.7884e-04
166.6667	1.7906e-04
166.9630	1.7928e-04
167.2593	1.7950e-04
167.5556	1.7973e-04
167.8519	1.7995e-04
168.1481	1.8017e-04
168.4444	1.8039e-04
168.7407	1.8061e-04
169.0370	1.8083e-04
169.3333	1.8105e-04
169.6296	1.8127e-04
169.9259	1.8148e-04
170.2222	1.8170e-04
170.5185	1.8192e-04
170.8148	1.8213e-04
171.1111	1.8235e-04
171.4074	1.8256e-04
171.7037	1.8278e-04
172.0000	1.8299e-04
172.2963	1.8321e-04
172.5926	1.8342e-04
172.8889	1.8363e-04
173.1852	1.8384e-04
173.4815	1.8405e-04
173.7778	1.8426e-04
174.0741	1.8448e-04
174.3704	1.8468e-04
174.6667	1.8489e-04
174.9630	1.8510e-04
175.2593	1.8531e-04
175.5556	1.8552e-04
175.8519	1.8573e-04
176.1481	1.8593e-04
176.4444	1.8614e-04
176.7407	1.8634e-04
177.0370	1.8655e-04
